project_id,mapping_number
1,1
2,2
4,3
7,4
16,5
17,6
24,7
31,8
32,9
33,10
36,11
37,12
39,13
40,14
41,15
44,16
50,17
61,18
67,19
70,20
71,21
72,22
73,23
74,24
75,25
76,26
78,27
83,28
100,29
118,30
120,31
122,32
123,33
124,34
135,35
138,36
140,37
141,38
142,39
144,40
150,41
153,42
154,43
156,44
159,45
162,46
163,47
165,48
167,49
168,50
171,51
172,52
173,53
174,54
175,55
176,56
177,57
178,58
179,59
180,60
181,61
182,62
183,63
184,64
189,65
190,66
191,67
192,68
193,69
194,70
195,71
196,72
197,73
198,74
199,75
200,76
205,77
206,78
207,79
209,80
210,81
211,82
212,83