standup_id,slack_id
3,U02EENFGK
4,U02EBRG16
5,U0LNDAUQ6
6,U06U2FKJ4
9,U02EEHT1J
10,U1K1P0ENR
11,U054SL2DJ
12,U0ZU8KFAT
14,U0LN2N1M1
16,U0C9GGXLH
17,U0HJTJATX
23,U04PVV50R
26,U1G84H2MN
27,U0LMZS9LL
30,U0JDV9JG2
32,U0LUANYAH
33,U02EEJB7E
42,U1S309HPG
47,U1SHH9F5M
50,U0ZEL9V0F
51,U1MMCC6LU
52,U056HCTHB
53,U0C7MPQNP
55,U033RN09L
56,U1Q840YMT
58,U0CT2TPH8
59,U1JQT3G6B
62,U14K5KWC8
63,U1STRDDQB
65,U28A87KPT
66,U2J6KKL1H
69,U02ELHV92
73,U324431QA
74,U35T4ABD0
78,U3ADY06QJ
79,U3DNVV2PP
80,U3KNQ0W05
81,U3KET0W1W
82,U3M4KMW9L
83,U3LL88VK4
85,U41TLDGDC
90,U4448DQSV
92,U44TLK613
127,U4QFUHABZ
138,U3YB68E3X
141,U5BAAKU91
143,U5E92J44W
144,U5FDKBJ00
145,U5DL2NBLY
146,U5F4FEFEJ
147,U62MPFGQ4
152,U5H7C4H6Y
153,U61HYMN8N
154,U5T0HNKL5
155,U6H8WCSUW
156,U6AJF8ELA
157,U788D4J7P
158,U7JTNJR7H
160,U86SQP4AJ
162,U8JP5RETW
165,U90T59E64
166,U9BKSKBR9
176,UAS5JR0KU